product_uuid,actual_price,selling_price,average_rating,brand,category,out_of_stock,product_id,seller,sub_category,title,discount
54d813b8-a3e2-584a-a477-0bd381c638b6,1499.0,491.0,3.3,York,Clothing and Accessories,0,TKPFWBGVGU9FCAYX,Shyam Enterprises,Bottomwear,Solid Men Dark Blue Track Pants,67.0
a1dfd440-c820-582c-956b-482997392b50,1499.0,489.0,3.3,York,Clothing and Accessories,0,TKPFWBGPGVKVZARU,Shyam Enterprises,Bottomwear,Striped Men Grey Track Pants,67.0
5b5d6a26-0309-5223-8f1d-4a282503aafa,1499.0,499.0,3.8,York,Clothing and Accessories,0,TKPFCZ9EVM2GZ4GF,Shyam Enterprises,Bottomwear,Solid Men Brown Track Pants,66.0
f3a1f99a-82a7-5209-b29f-6d5f3d6baf9a,1499.0,499.0,3.3,York,Clothing and Accessories,0,TKPFWAG7YFWPMG5Y,Shyam Enterprises,Bottomwear,Solid Men Blue Track Pants,66.0
f81bebd0-6380-5a45-8c36-8ee4b28d6ef3,2999.0,931.0,3.9,York,Clothing and Accessories,0,TKPFCZ9E2UC3DR3F,Shyam Enterprises,Bottomwear,"Solid Men Blue, Beige Track Pants",68.0
ca8442a4-f874-5b0b-a8a8-c49df5c8b50f,1499.0,537.0,3.5,York,Clothing and Accessories,0,TKPFCZ9ECDYYDNKA,Shyam Enterprises,Bottomwear,Solid Men Dark Green Track Pants,64.0
ec6ff32a-955a-5e9e-898b-fb0b6b9c6927,399.0,280.0,4.2,ANGI,Clothing and Accessories,0,SOCFVCCYUDEN2AVH,SH ENTERPRISE,Clothing Accessories,Men Self Design Ankle Length  (Pack of 4),29.0
087455fa-3de2-562a-8895-db3d220970bf,2469.0,499.0,4.3,Unknown,Clothing and Accessories,0,CTPFVZTEMJWEJJJV,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),79.0
a14bb46e-e540-57ca-97bb-886fef225145,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVQP2PEHKGYFQ,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),79.0
551c1834-3630-5083-b00d-33728def5ec8,1299.0,349.0,4.7,Unknown,Clothing and Accessories,0,CTPFVPM3NDPBPPXE,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Purple),73.0
1846e0f1-db8a-5179-98f9-2bd753887cff,2599.0,499.0,4.3,Unknown,Clothing and Accessories,0,CTPFVZHSA7G4PFC5,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Grey),80.0
a9eb7182-d4e4-57dc-aedc-eb9016196d61,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZD8CNSZ3AMR,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
0d07ef82-a00b-57b9-9f72-38a5a234d9d3,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVQNNHGYFTGFN,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),79.0
8e7e8102-60bf-5637-8f99-a2407483ac5f,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZT3UFN99ZTH,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Yellow),81.0
f75bd4e5-7316-5469-9d7a-d9db5a382cdd,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZHY42MSZCF6,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),79.0
d85d1404-f4ff-5c58-ad2d-953200722135,2599.0,499.0,4.5,Unknown,Clothing and Accessories,0,CTPFVSU7CXFCXEHD,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),80.0
3d6a34c8-8445-5695-a6e1-95004d005050,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZGRKPGSFPUU,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),79.0
db53a2e8-3b7d-59fb-9aa9-f8c1b4492e7b,3299.0,899.0,4.3,Unknown,Clothing and Accessories,0,CTPFVZT7EFZWVRUP,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),72.0
75d51736-f72e-58b2-acde-92041cda7aec,2499.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVXGGEHH6YY8G,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),80.0
aba0b81f-2b63-54b2-8828-1e89e40c9b32,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVQZFE4HTFZNG,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),79.0
0d60a22c-1abf-5052-b376-1d930ef2b96f,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPKJGJBXHQFJ,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Grey),79.0
866482a0-a571-5c8a-b3f9-a8b3189d442e,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZT2GYAVYEE6,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),81.0
